epoch,accuracy,loss,val_accuracy,val_loss
0,0.37337392568588257,1.3202890157699585,0.46109509468078613,1.2694429159164429
1,0.6520896553993225,0.9775990843772888,0.6685879230499268,0.9161401391029358
2,0.7973982691764832,0.5738059878349304,0.6916426420211792,0.7950254082679749
3,0.8400221467018127,0.41879233717918396,0.7060518860816956,0.8003140687942505
4,0.8793246746063232,0.33593764901161194,0.7031700015068054,0.827153742313385
5,0.9034043550491333,0.2756541967391968,0.6628242135047913,0.9045179486274719
6,0.9233323931694031,0.23155976831912994,0.6772334575653076,0.9332480430603027
7,0.9371713399887085,0.19366291165351868,0.680115282535553,1.0108245611190796
8,0.9468585848808289,0.169094979763031,0.6657060384750366,1.0378516912460327
9,0.9515637755393982,0.15396849811077118,0.6772334575653076,1.090370774269104
10,0.9595903754234314,0.1342182755470276,0.680115282535553,1.1120762825012207
11,0.9648491740226746,0.12067563831806183,0.6657060384750366,1.241586685180664
12,0.9670633673667908,0.10717702656984329,0.6829971075057983,1.28441321849823
13,0.9667866230010986,0.1064148098230362,0.6599423885345459,1.2700603008270264
14,0.9692776203155518,0.0995292067527771,0.6685879230499268,1.3191378116607666
15,0.9723221659660339,0.08955711126327515,0.6657060384750366,1.3954159021377563
16,0.9723221659660339,0.08866266161203384,0.6628242135047913,1.4326679706573486
17,0.9745364189147949,0.07644009590148926,0.651296854019165,1.4455995559692383
18,0.9773041605949402,0.07805301994085312,0.6657060384750366,1.5034356117248535
19,0.9748131632804871,0.07477924972772598,0.6657060384750366,1.5353020429611206
20,0.9748131632804871,0.0739888846874237,0.6772334575653076,1.5361419916152954
21,0.975643515586853,0.06901872158050537,0.6628242135047913,1.5173369646072388
22,0.9778577089309692,0.06750912219285965,0.6685879230499268,1.578901767730713
23,0.977027416229248,0.0707448273897171,0.6657060384750366,1.5648910999298096
24,0.9775809645652771,0.0652739480137825,0.651296854019165,1.6022741794586182
